[2024-06-06T03:47:26.241Z] Attempting to play song: Hot Mulligan - *Equip Sunglasses*
[2024-06-06T03:47:27.087Z] Started playing: Hot Mulligan - *Equip Sunglasses*
[2024-06-06T03:47:27.087Z] Updated bot's status: Now Playing - Hot Mulligan - *Equip Sunglasses*
[2024-06-06T03:47:57.189Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.192Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.193Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.193Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.194Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.193Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.194Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.194Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.195Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.195Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.195Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.194Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.196Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.196Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.197Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.197Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.196Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.198Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.198Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.197Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.199Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.199Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.199Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.197Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.199Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.200Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.201Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.201Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.201Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.202Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.200Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.203Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.202Z] Error playing song - Cannot read properties of undefined (reading 'title')
